Data_Split;FL;Non-IID;y_Dist;Epochs;Batches;Participant;ROC_AUC_Train;ROC_AUC_Test;ROC_AUC_OOS;LOGLOSS_Train;LOGLOSS_Test;LOGLOSS_OOS;PRAUC_Train;PRAUC_Test;PRAUC_OOS;BRIER_Train;BRIER_Test;BRIER_OOS;Model;Model_Type;TTG_ROCAUC;TTG_LOGLOSS;TTG_PRAUC;TTG_BRIER
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;1024;1;0,759734251;0,744444789;0,750753842;0,239644353;0,249556466;0,243086336;0,233782789;0,224001272;0,217780894;0,065576625;0,068066028;0,066411201;Model 1;NonFed;0,015289462;-0,009912113;0,009781516;-0,002489403
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;1024;2;0,719883091;0,71582919;0,715454428;0,254318185;0,249899361;0,253687198;0,194558841;0,202245801;0,182226575;0,068673408;0,067009165;0,068065709;Model 2;NonFed;0,004053901;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;1024;3;0,659050316;0,662345126;0,655317375;0,269170083;0,26942016;0,26578085;0,164113719;0,168630081;0,141561128;0,071363465;0,070944144;0,069901116;Model 3;NonFed;0;-0,000250077;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;512;1;0,773416418;0,751865608;0,756791772;0,235191208;0,247210647;0,240868716;0,25392014;0,232245022;0,225241741;0,064678029;0,067658157;0,066005383;Model 1;NonFed;0,02155081;-0,012019439;0,021675118;-0,002980128
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;512;2;0,755659875;0,745647707;0,73857561;0,244447091;0,243174776;0,248218106;0,231296079;0,224199389;0,199271632;0,066916844;0,065906849;0,067297596;Model 2;NonFed;0,010012168;0;0,00709669;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;512;3;0,736884969;0,727441937;0,71644799;0,25044357;0,253470994;0,2533053;0,224843592;0,20869706;0,181448493;0,068289212;0,068681141;0,068294752;Model 3;NonFed;0,009443033;-0,003027423;0,016146532;-0,000391928
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;256;1;0,787120437;0,755904451;0,758656204;0,230986369;0,245667397;0,24012327;0,274430871;0,239174111;0,228936526;0,063794632;0,067333567;0,06583681;Model 1;NonFed;0,031215987;-0,014681027;0,035256759;-0,003538934
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;256;2;0,781942236;0,759190082;0,7452949;0,235479988;0,239351729;0,245869075;0,271151204;0,235529677;0,208222703;0,06504077;0,065147559;0,066821015;Model 2;NonFed;0,022752154;-0,00387174;0,035621528;-0,000106789
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;256;3;0,777908373;0,74507673;0,733670559;0,238279092;0,248827752;0,248198256;0,279094202;0,222361004;0,193331187;0,065908253;0,067873701;0,067417629;Model 3;NonFed;0,032831643;-0,01054866;0,056733199;-0,001965447
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;128;1;0,799225274;0,760422622;0,760893206;0,230916185;0,24813525;0,243311761;0,290725221;0,236442334;0,232863128;0,063605519;0,068314299;0,066876072;Model 1;NonFed;0,038802652;-0,017219065;0,054282887;-0,00470878
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;128;2;0,807074798;0,763389305;0,750112903;0,228943501;0,240703729;0,246487396;0,314452162;0,236968743;0,213255451;0,063397703;0,065808745;0,067413607;Model 2;NonFed;0,043685492;-0,011760228;0,077483419;-0,002411042
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;128;3;0,815487109;0,754442199;0,74143047;0,225735241;0,248604465;0,248700975;0,353775721;0,224432127;0,202873572;0,06256512;0,068520069;0,068149101;Model 3;NonFed;0,06104491;-0,022869224;0,129343594;-0,005954949
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;64;1;0,807409908;0,758559476;0,757002192;0,234224145;0,252812089;0,248756478;0,305203852;0,238665225;0,236501688;0,063903846;0,069332863;0,067876679;Model 1;NonFed;0,048850432;-0,018587944;0,066538627;-0,005429018
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;64;2;0,828894542;0,767405693;0,752953277;0,220197104;0,238548544;0,244883874;0,358789562;0,239185707;0,213165892;0,061365602;0,065511246;0,067208455;Model 2;NonFed;0,061488849;-0,018351439;0,119603855;-0,004145644
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;64;3;0,85094407;0,757663296;0,741987867;0,211855959;0,249437587;0,249732776;0,441689169;0,219018861;0,204276047;0,058678932;0,069128091;0,068625321;Model 3;NonFed;0,093280774;-0,037581627;0,222670308;-0,010449159
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;32;1;0,81414566;0,759722288;0,762602282;0,220881855;0,246260388;0,24080648;0,318834579;0,247461305;0,232706804;0,061522487;0,067290722;0,066082089;Model 1;NonFed;0,054423372;-0,025378533;0,071373275;-0,005768235
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;32;2;0,853498194;0,759958651;0,738091083;0,209015985;0,239348955;0,247808136;0,41214099;0,230632259;0,206997895;0,059125082;0,065327222;0,067099935;Model 2;NonFed;0,093539543;-0,03033297;0,181508731;-0,00620214
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;32;3;0,880531458;0,744950767;0,739848025;0,200869748;0,256454315;0,253101615;0,506638949;0,210916233;0,201395542;0,055382187;0,070786152;0,069960654;Model 3;NonFed;0,135580691;-0,055584567;0,295722717;-0,015403965
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;16;1;0,81580953;0,76196622;0,756145436;0,222450142;0,244325393;0,240812923;0,309846984;0,247325138;0,227176568;0,062262204;0,067033369;0,065942827;Model 1;NonFed;0,053843311;-0,021875251;0,062521846;-0,004771164
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;16;2;0,854213922;0,757454067;0,745049611;0,208035945;0,244100139;0,252602121;0,397566717;0,235391701;0,204880499;0,059205637;0,065402822;0,067701858;Model 2;NonFed;0,096759855;-0,036064194;0,162175016;-0,006197184
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;16;3;0,889758786;0,749128311;0,739628547;0,195512442;0,268258476;0,266468546;0,524011921;0,215233186;0,201597891;0,056457758;0,069114913;0,068231174;Model 3;NonFed;0,140630476;-0,072746033;0,308778735;-0,012657155
