Data_Split;FL;Non-IID;y_Dist;Epochs;Batches;Participant;ROC_AUC_Train;ROC_AUC_Test;ROC_AUC_OOS;LOGLOSS_Train;LOGLOSS_Test;LOGLOSS_OOS;PRAUC_Train;PRAUC_Test;PRAUC_OOS;BRIER_Train;BRIER_Test;BRIER_OOS;Model;Model_Type;TTG_ROCAUC;TTG_LOGLOSS;TTG_PRAUC;TTG_BRIER
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;64;2;0,766676618;0,769665962;0,751573558;0,240748318;0,235595297;0,242995753;0,246012593;0,243180015;0,21440826;0,066258961;0,064793412;0,066737658;Model 2;NonFed;0;0;0,002832578;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;64;3;0,748871792;0,744244237;0,735113035;0,248745917;0,249038223;0,2484475;0,218881585;0,213514191;0,195362558;0,068563336;0,068481829;0,068040191;Model 3;NonFed;0,004627556;-0,000292306;0,005367393;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;32;1;0,724262231;0,718423932;0,708220955;0,256456559;0,264477751;0,262208958;0,189440456;0,191828876;0,172843299;0,068549288;0,070615549;0,069505614;Model 1;NonFed;0,005838299;-0,008021193;0;-0,002066262
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;32;2;0,770221818;0,771800334;0,752752163;0,239464728;0,234813981;0,242536897;0,252846665;0,248034391;0,216110668;0,06594075;0,064584366;0,066628646;Model 2;NonFed;0;0;0,004812273;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;32;3;0,766194197;0,753008367;0,747689864;0,243285868;0,246509197;0,245163965;0,242252121;0,226678574;0,207126375;0,067367436;0,067964212;0,067452788;Model 3;NonFed;0,01318583;-0,003223329;0,015573547;-0,000596776
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;16;1;0,698883493;0,697651515;0,68638407;0,273123616;0,280084573;0,276703675;0,16650594;0,173536845;0,1553711;0,071435191;0,07310101;0,071952537;Model 1;NonFed;0,001231978;-0,006960958;0;-0,001665819
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;16;2;0,766699357;0,765009194;0,746508932;0,24083874;0,237520264;0,246069769;0,249343095;0,238182558;0,211974399;0,066140472;0,065070288;0,066954265;Model 2;NonFed;0,001690163;0;0,011160537;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;16;3;0,774859412;0,757068658;0,750971676;0,240228829;0,245774702;0,244128756;0,255101403;0,228617329;0,209937723;0,066620634;0,067855468;0,067179854;Model 3;NonFed;0,017790754;-0,005545872;0,026484074;-0,001234834
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;1024;1;0,735435755;0,730853958;0,727488441;0,248214155;0,254980545;0,250649461;0,204373333;0,210024894;0,196699649;0,067345961;0,069131485;0,067939228;Model 1;NonFed;0,004581797;-0,00676639;0;-0,001785524
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;1024;2;0,592822284;0,599950281;0,598421711;0,293127968;0,287493002;0,291553878;0,110200495;0,107390309;0,108277638;0,078680122;0,076982096;0,07756925;Model 2;NonFed;0;0;0,002810185;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;1024;3;0,558523028;0,576438656;0,556082989;0,472338697;0,463531578;0,474358964;0,096717054;0,099857373;0,093490497;0,148174876;0,144921023;0,148584868;Model 3;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;512;1;0,758252765;0,753253938;0,751656106;0,240606388;0,246654247;0,242930938;0,227916792;0,235112088;0,217430228;0,06599496;0,067645197;0,066695942;Model 1;NonFed;0,004998827;-0,00604786;0;-0,001650237
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;512;2;0,647642184;0,653104563;0,650553566;0,271219162;0,265376391;0,270045404;0,135765793;0,135887307;0,13187946;0,072773848;0,070973506;0,071879698;Model 2;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;512;3;0,577071793;0,597384329;0,575504497;0,355592026;0,348182149;0,355215354;0,103616143;0,106754221;0,099935291;0,100554702;0,098231788;0,099915287;Model 3;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;256;1;0,764076728;0,75841778;0,754483451;0,238846675;0,244874604;0,241800168;0,235606904;0,244510504;0,225680664;0,065590927;0,067176202;0,066318567;Model 1;NonFed;0,005658948;-0,006027929;0;-0,001585275
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;256;2;0,697226138;0,701725855;0,695474965;0,260642807;0,254400198;0,260084996;0,167363237;0,172382066;0,160029436;0,070697428;0,068725988;0,070054195;Model 2;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;256;3;0,609357194;0,63104052;0,608001725;0,297680358;0,291394193;0,29532602;0,117197801;0,122329498;0,112211015;0,080435534;0,07894975;0,07923504;Model 3;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;128;1;0,763648301;0,757805758;0,755618254;0,238722944;0,245113975;0,241749343;0,23903968;0,246988551;0,228159302;0,065408969;0,067097642;0,066225698;Model 1;NonFed;0,005842543;-0,006391031;0;-0,001688672
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;128;2;0,729881502;0,734835769;0,724327738;0,252834513;0,246199084;0,252171123;0,195796313;0,203596605;0,184474899;0,069164634;0,067106306;0,068780937;Model 2;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;128;3;0,656470768;0,67598529;0,653823527;0,273535164;0,268109134;0,270197684;0,141924584;0,146367445;0,133953849;0,073681035;0,072620223;0,072374241;Model 3;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;64;1;0,75324417;0,747283935;0,744593345;0,243477318;0,249607306;0,24637619;0,230456442;0,237050278;0,220876603;0,066557398;0,06829845;0,067290687;Model 1;NonFed;0,005960235;-0,006129988;0;-0,001741052
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;64;2;0,74947917;0,755001234;0,74137823;0,247045083;0,24048491;0,246701464;0,219823542;0,224986267;0,205760997;0,067863834;0,065918302;0,067600499;Model 2;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;64;3;0,702499819;0,71506676;0,696717444;0,261505598;0,257186022;0,258352611;0,174196865;0,180992929;0,161525968;0,071107207;0,070201277;0,069943843;Model 3;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;32;1;0,72939038;0,724940456;0,716037263;0,253882391;0,260204095;0,256966913;0,202563953;0,206691329;0,190633703;0,068107377;0,069925734;0,069021888;Model 1;NonFed;0,004449924;-0,006321704;0;-0,001818358
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;32;2;0,759173931;0,765581827;0,749960308;0,243802538;0,237780131;0,244387956;0,235789273;0,239489691;0,215582793;0,066980373;0,065160732;0,066932393;Model 2;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;32;3;0,733995124;0,737592998;0,723987027;0,253338935;0,251186284;0,251875931;0,204752926;0,207259654;0,185671967;0,069509085;0,068932331;0,068771685;Model 3;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;16;1;0,723562167;0,720729322;0,708387882;0,271755035;0,278321221;0,276481207;0,194048642;0,200512277;0,183285117;0,07095468;0,072453615;0,071989499;Model 1;NonFed;0,002832846;-0,006566186;0;-0,001498935
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;16;2;0,760997434;0,7637526;0,75045166;0,243972513;0,238057026;0,244621084;0,239855208;0,242840612;0,216998016;0,066839816;0,065099149;0,066882623;Model 2;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;16;3;0,753722154;0,747616087;0,738231673;0,247419787;0,248350027;0,248543591;0,232628469;0,224749045;0,200192285;0,068224117;0,06826363;0,068248478;Model 3;NonFed;0,006106067;-0,000930239;0,007879424;-3,95129E-05
8-2-1;1;0;7.83% - 7.85% - 7.90%;10;1024;1;0,772020014;0,765704313;0,763688598;0,236007294;0,242528151;0,238956154;0,246919845;0,251827219;0,23380399;0,064960076;0,066764822;0,06577422;Model 1;Fed;0,006315701;-0,006520858;0;-0,001804746
8-2-1;1;0;7.83% - 7.85% - 7.90%;10;1024;2;0,76672229;0,781838946;0,762235451;0,240225522;0,231815785;0,239239682;0,249169057;0,259211118;0,233255455;0,066091896;0,063935704;0,065795959;Model 2;Fed;0;0;0;0
8-2-1;1;0;7.83% - 7.85% - 7.90%;10;1024;3;0,768939079;0,767482365;0,761991838;0,241848389;0,2410324;0,239293986;0,248414032;0,25260049;0,233153232;0,066829606;0,066445012;0,065803483;Model 3;Fed;0,001456714;0;0;0
8-2-1;1;0;7.83% - 7.85% - 7.90%;10;512;1;0,774419993;0,76793473;0,764938399;0,235432695;0,241703496;0,238704197;0,24925443;0,255021539;0,234639604;0,064867862;0,066632095;0,065776063;Model 1;Fed;0,006485263;-0,006270801;0;-0,001764232
8-2-1;1;0;7.83% - 7.85% - 7.90%;10;512;2;0,769106825;0,782556413;0,762702327;0,23972046;0,231397793;0,239412088;0,250229025;0,262272782;0,230696975;0,066053387;0,063781104;0,065918233;Model 2;Fed;0;0;0;0
8-2-1;1;0;7.83% - 7.85% - 7.90%;10;512;3;0,770592699;0,76543748;0,762765518;0,241510157;0,241878711;0,239371455;0,249034092;0,249051132;0,230807928;0,066826108;0,066655026;0,065918584;Model 3;Fed;0,00515522;-0,000368554;0;0
8-2-1;1;0;7.83% - 7.85% - 7.90%;10;256;1;0,774716236;0,767821154;0,763936461;0,235122775;0,241600759;0,239007407;0,251140707;0,256988989;0,231406191;0,064739124;0,066533505;0,065833418;Model 1;Fed;0,006895082;-0,006477985;0;-0,001794381
8-2-1;1;0;7.83% - 7.85% - 7.90%;10;256;2;0,76779993;0,781466659;0,761233855;0,239965236;0,231408185;0,24001457;0,249325933;0,262741625;0,227024442;0,066056681;0,063706578;0,066043044;Model 2;Fed;0;0;0;0
8-2-1;1;0;7.83% - 7.85% - 7.90%;10;256;3;0,770430061;0,761814039;0,76124645;0,241567063;0,242784809;0,239928757;0,248255736;0,248964905;0,226953546;0,066838857;0,066680083;0,066052384;Model 3;Fed;0,008616022;-0,001217746;0;0
8-2-1;1;0;7.83% - 7.85% - 7.90%;10;128;1;0,773373684;0,766351089;0,762999825;0,235624954;0,242176456;0,239776679;0,250412295;0,256563051;0,23136218;0,06481291;0,066599865;0,065976419;Model 1;Fed;0,007022596;-0,006551502;0;-0,001786955
8-2-1;1;0;7.83% - 7.85% - 7.90%;10;128;2;0,766754614;0,779016333;0,761162692;0,240239768;0,232576859;0,240881517;0,249913191;0,26360396;0,22525252;0,066037217;0,063709606;0,066180603;Model 2;Fed;0;0;0;0
8-2-1;1;0;7.83% - 7.85% - 7.90%;10;128;3;0,769704084;0,759996623;0,761333;0,242163758;0,243232027;0,240379737;0,246778087;0,250757767;0,224930111;0,067007872;0,066601971;0,066200739;Model 3;Fed;0,009707461;-0,001068269;0;0
8-2-1;1;0;7.83% - 7.85% - 7.90%;10;64;1;0,766533417;0,759143846;0,757082848;0,238027942;0,244912954;0,24166178;0,240178002;0,245107991;0,220390261;0,065281617;0,067130808;0,066422374;Model 1;Fed;0,007389571;-0,006885012;0;-0,001849191
8-2-1;1;0;7.83% - 7.85% - 7.90%;10;64;2;0,756347734;0,770444345;0,753700185;0,243838945;0,234980763;0,243167897;0,239472247;0,254948723;0,214317791;0,066636564;0,06427063;0,066701785;Model 2;Fed;0;0;0;0
8-2-1;1;0;7.83% - 7.85% - 7.90%;10;64;3;0,764737557;0,749070857;0,754548813;0,243788863;0,24683633;0,242849058;0,239947978;0,238011036;0,213959666;0,067379288;0,067221468;0,06671602;Model 3;Fed;0,0156667;-0,003047467;0,001936942;0
8-2-1;1;0;7.83% - 7.85% - 7.90%;10;32;1;0,750823948;0,743401383;0,738513598;0,244054073;0,251278461;0,248339263;0,226878161;0,228154338;0,207659862;0,066400732;0,06838827;0,067810037;Model 1;Fed;0,007422564;-0,007224388;0;-0,001987538
